Genotype	Subgenotype	GtRef	NumSequences	Accession	HammingDistance	PairwiseDistance	Doi	CollectionYear	Country
A	A1 (1)	no	50	KP168423	26	0.008	10.1186/s12879-016-1409-2	2012	Kenya
A	A1 (2)	yes	87	FJ692557	21	0.007	10.3201/eid1508.081642	2006	Haiti
A	A2	no	80	EU594385	5	0.002	10.1002/jmv.20169	2004	Estonia
A	A3	no	9	AM184126	29	0.009	10.1002/jmv.20678	2005	Gabon
A	A4	no	2	KM606737	n/a	n/a	10.1371/journal.pone.0118959	2015	Cuba
A	A5	no	25	FJ692601	10	0.003	10.3201/eid1508.081642	2006	Haiti
A	A6	no	2	GQ331046	n/a	n/a	10.1016/j.jcv.2009.09.032.	2006	Belgium
B	B1	no	47	D23679	23	0.007	10.1002/jmv.1890440118	1993	Japan
B	B2 (1)	no	131	JQ801514	15	0.005	10.1002/jmv.23430	2009	Thailand
B	B2 (2)	yes	294	GU815637	10	0.003	10.1128/JVI.02164-09	2010	Taiwan
B	B3	no	106	AP011085	23	0.007	10.1007/s00705-009-0406-9	2001	Indonesia
B	B4	no	69	AB073835	35	0.011	10.1128/jvi.76.12.5985-5992.2002	2001	Japan
B	B6	no	36	AB287314	29	0.009	10.1086/523111	2006	Alaska
C	C1	no	240	DQ089781	29	0.009	10.1086/430324	2005	China (Hong Kong)
C	C2 (1)	no	261	KC774182	21	0.007	10.1186/1743-422X-11-101	2012	China
C	C2 (2)	yes	280	GQ377617	14	0.004	10.1016/j.jcv.2010.05.010	2007	China
C	C2 (3)	no	157	AP011098	10	0.003	10.1007/s00705-009-0406-9	2009	Indonesia
C	C4	no	21	KF873526	68	0.021	10.1002/jmv.23888	2011	Australia
C	C5	no	15	AP011099	41	0.013	10.1007/s00705-009-0406-9	2009	Indonesia
C	C6	no	2	EU670263	28	0.009	10.1002/jmv.21475	2008	Philippines
C	C8	no	15	AP011107	42	0.013	10.1007/s00705-009-0406-9	2009	Indonesia
C	C10	no	21	KJ173333	33	0.01	10.1016/j.jcv.2014.06.010	2012	China
C	C11	no	28	AB554015	86	0.027	10.1002/jmv.21931	2010	Indonesia
C	C_UA_1	no	31	KC774298	15	0.005	10.1186/1743-422X-11-101	2012	China
C	C_UA_2	no	16	DQ089802	55	0.018	10.1086/430324	2005	China (Hong Kong)
D	D1 (1)	no	106	AB222711	11	0.003	10.1002/jmv.21035	2005	Uzbekistan
D	D1 (2)	yes	216	KC875277	17	0.005	10.1371/journal.pone.0110012	2013	India
D	D2	no	100	MF925358	21	0.007	10.1371/journal.pone.0188944	2015	Bangladesh
D	D3	no	78	FJ692507	18	0.006	10.3201/eid1508.081642	2006	Haiti
D	D4	no	15	FJ692533	17	0.008	10.3201/eid1508.081642	2006	Haiti
D	D5	no	15	GQ205389	19	0.006	10.1128/JCM.01174-10	2008	India
D	D7	no	15	FJ904435	44	0.014	10.1099/vir.0.009738-0	2006	Tunisia
E	n/a	yes	145	GQ161817	19	0.006	10.1099/vir.0.012013-0	2006	Guinea
F	F1	yes	26	HM585194	13	0.004	10.1002/jmv.22129	2007	Chile
F	F2	no	13	DQ899143	26	0.008	10.1002/jmv.21024	2006	Venezuela
F	F3	no	19	MH051986	17	0.005	10.1371/journal.pone.0197662	2011	Venezuela
F	F4	no	18	KJ843175	17	0.005	10.1371/journal.pone.0121436	2012	Argentina
G	n/a	yes	3	AB056513	n/a	n/a	10.1016/S0166-0934(01)00374-3	2001	United States of America
H	n/a	yes	11	FJ356715	36	0.011	10.1128/JCM.01337-09	2008	Argentina
I	I1	yes	5	AB562463	17	0.005	10.1002/jmv.21978	2007	Vietnam
I	I2	no	4	FJ023669	17	0.005	10.3201/eid1411.080437	2008	Laos
J	n/a	yes	1	AB486012	n/a	n/a	10.1128/JVI.00462-09	2006	Japan/Borneo
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
