SourceName,SequenceID,SUBTYPE,COUNTRY
ncbi-nuccore,941241313,A,France
ncbi-nuccore,22135726,H,USA
ncbi-nuccore,16117320,H,USA
ncbi-nuccore,22135711,H,Nicaragua
ncbi-nuccore,22135696,H,Nicaragua
ncbi-nuccore,34761144,A,India
ncbi-nuccore,32330466,A,South Africa
ncbi-nuccore,32330522,A,South Africa
ncbi-nuccore,41529410,A,Philippines
ncbi-nuccore,41529402,A,Philippines
ncbi-nuccore,41529358,A,Japan
ncbi-nuccore,32330490,A,South Africa
ncbi-nuccore,34761124,A,India
ncbi-nuccore,34761129,A,India
ncbi-nuccore,22335634,A,Malawi
ncbi-nuccore,22655598,A,USA
ncbi-nuccore,11935071,E,Nigeria
ncbi-nuccore,15425688,G,USA
ncbi-nuccore,19849032,G,Germany
ncbi-nuccore,10443806,G,Vietnam
ncbi-nuccore,18146661,G,USA
ncbi-nuccore,13365548,Caa,Australia
ncbi-nuccore,13365550,Caa,Australia
ncbi-nuccore,12247041,C,Argentina
ncbi-nuccore,59422,C,Brazil
ncbi-nuccore,4206634,C,Thaliand
ncbi-nuccore,452622,C,New Caledonia
ncbi-nuccore,4490403,C,China
ncbi-nuccore,6063467,D,Papua New Guinea
ncbi-nuccore,451966,D,UK
ncbi-nuccore,59439,D,Italy
ncbi-nuccore,59448,D,Italy
ncbi-nuccore,18032031,A,China
ncbi-nuccore,29469132,C,Korea
